UseCaseID,Business Line,Business Entity,Lifecycle,Location,Title,Owner,Description,Data Needed,DataSets
13854,Mobility Solutions,Traffic Management,Development,Netherlands,Real-time Traffic Congestion Detection and Mitigation,Bram van Dijk,"The objective of this use case is to develop a real-time traffic congestion detection and mitigation system. By analyzing traffic data, road conditions, and vehicle movements, the system can identify potential congestion areas and suggest alternative routes to drivers, reducing travel times and improving overall traffic flow.","Real-time traffic data, road condition data, vehicle movement data, and road network data.",GDS66122; GDS53933; GDS33009; GDS94079
13855,Mobility Solutions,Ride-Hailing Services,Production,Netherlands,Ride-Hailing Services Performance Dashboard,Sofie Janssen,"This use case involves the creation of a performance dashboard for ride-hailing services. The dashboard should display key metrics such as the number of rides, average trip duration, customer ratings, and driver performance, providing stakeholders with valuable insights to make data-driven decisions.","Ride-hailing transaction data, customer feedback data, and driver performance data.",GDS69282; GDS82864; GDS20727; GDS94079; GDS18735
13856,Mobility Solutions,Electric Vehicle Charging Stations,Production,Netherlands,EV Charging Station Utilization Analysis,Jan de Vries,"The goal of this use case is to analyze the utilization of electric vehicle (EV) charging stations. By examining usage patterns, peak demand times, and regional differences, stakeholders can identify areas for expansion, optimize pricing strategies, and improve the overall EV charging infrastructure.","EV charging station usage data, location data, and regional demographic data.",GDS54826; GDS92498; GDS69282; GDS82864
54782,Innovation & Technology,Data Management,Development,Netherlands,Automated Data Quality Assessment,Lucas de Vries,"The goal of this use case is to develop an automated data quality assessment system that can identify potential data quality issues, such as missing values, duplicates, and inconsistencies, in real-time. By using machine learning algorithms and data validation techniques, the system can help organizations maintain a high level of data quality and integrity, enabling them to make better decisions based on accurate and reliable data.","Historical data quality records, metadata, data dictionaries, and data samples.",GDS87647; GDS84136; GDS76846; GDS79029
54783,Innovation & Technology and Data,Data Governance,Production,Netherlands,Data Governance Performance Dashboard,Emma van der Meer,"The purpose of this use case is to create a data governance performance dashboard that provides an overview of key metrics related to data quality, compliance, and security. The dashboard should display data on data quality scores, data lineage, data access controls, and compliance with data protection regulations, enabling organizations to monitor their data governance efforts and make informed decisions.","Data quality metrics, data lineage records, data access control data, and data protection compliance data.",GDS26160; GDS24950; GDS47754; GDS54826
54784,Innovation & Technology and Data,Data Cataloging,Development,Netherlands,Intelligent Data Catalog and Discovery System,Noah de Jong,"This use case aims to develop an intelligent data catalog and discovery system that combines both data science and business intelligence techniques. By using machine learning algorithms to automatically classify and catalog data assets and a BI dashboard to display key metadata, data lineage, and usage information, organizations can efficiently discover, understand, and manage their data resources, improving data-driven decision-making.","Metadata, data dictionaries, data lineage records, and data usage information.",GDS53933; GDS66122; GDS14806; GDS57695
66666,Consumer Finance,Digital Lending,Development,Netherlands,Predicting Customer Lifetime Value (CLTV) in Consumer Finance,Jan Jansen,"The goal of this use case is to predict the customer lifetime value (CLTV) in the consumer finance industry. CLTV is a crucial metric for businesses, as it estimates the total revenue a company can expect from a customer throughout their relationship. Accurate predictions of CLTV can help companies in optimizing marketing strategies, improving customer retention, and maximizing profitability.","The data needed for this use case includes customer demographics, transaction history, credit scores, account balances, payment behavior, and product usage.",GDS23096; GDS31408; GDS61585; GDS43064
66667,Consumer Finance,Risk Management,Production,Netherlands,Identifying Potential Loan Defaulters,Jan Jansen,"The objective of this use case is to identify potential loan defaulters in the consumer finance industry. Loan defaults can lead to significant financial losses for companies. Therefore, early identification of potential defaulters can help companies to take proactive measures, such as offering alternative repayment plans or increasing monitoring, to reduce the risk of default.","The data required for this use case includes loan application details, customer demographics, credit scores, employment history, income, outstanding debts, payment history, and any previous defaults.",GDS57695; GDS98467; GDS42946; GDS23096; GDS31408
666673,Finance,General Purchasing,Development,Netherlands,Cash Flow Forecasting,Jan Peter de Man,"The aim of this use case is to develop a cash flow forecasting model for the finance business line. Accurate cash flow forecasts can help organizations anticipate future cash needs, optimize working capital management, and ensure sufficient liquidity to meet financial obligations.","The data required for this use case includes historical cash flow data, accounts receivable and payable data, sales forecasts, and any other relevant financial information.","GDS90705; GDS14638; GDS12938; GDS95507,GDS78390"
666674,Finance,General Finance,Production,Netherlands,Financial Benchmarking,Jan Peter Verweg,"The goal of this use case is to conduct financial benchmarking to compare an organization's financial performance with that of its competitors and industry peers. This can help finance teams identify areas of improvement, set realistic performance targets, and develop strategies to enhance financial performance.","The data needed for this use case consists of the organization's financial data, competitor financial data, industry financial ratios, and any relevant market research data.","GDS56928; GDS56213; GDS51993; GDS74879,GDS63088"
